"DateTime","Branch","FromBus","ToBus","Flow (MW) (From->To)","Capacity (MW)","DynamicLoss (MW)","FixedLoss (MW)","FromBusPrice ($/MWh)","ToBusPrice ($/MWh)","BranchPrice ($/MWh)","BranchRentals ($)"
"13-FEB-2017 09:30","HWA_PTA.1","323","339",-12.00000,37.00000,0.00000,0.00000,79.57607,79.57607,0.00000,0.00000
"13-FEB-2017 09:30","HWA_T3.T3","323","741",6.91192,38.30000,0.00717,0.01350,79.57607,79.79177,0.00000,-0.07912
"13-FEB-2017 09:30","HWA_T4.T4","323","322",20.43394,33.23000,0.03364,0.01860,79.57607,79.82643,0.00000,0.47285
"13-FEB-2017 09:30","HWA_WAA1.1","323","352",-3.00000,87.07000,0.00000,0.00000,79.57607,79.57607,0.00000,0.00000
"13-FEB-2017 09:30","HWA_WAA2.1","323","352",-3.00000,2000.00000,0.00000,0.00000,79.57607,79.57607,0.00000,0.00000
"13-FEB-2017 09:30","HWA_WVY1.1","323","354",-9.40610,152.00000,0.04419,0.00000,79.57607,79.20222,0.00000,0.00000
"13-FEB-2017 09:30","HWB_ROX1.1","692","722",-3.04270,63.00000,0.03969,0.00000,62.75429,62.33573,0.00000,-0.60860
"13-FEB-2017 09:30","HWB_ROX2.1","692","722",-3.04270,63.00000,0.03969,0.00000,62.75429,62.33573,0.00000,-0.60867
"13-FEB-2017 09:30","HWB_SDN.1","693","725",8.79335,333.00000,0.00544,0.00000,62.69356,62.71837,0.00000,-0.06163
"13-FEB-2017 09:30","HWB_T1.L1","795","688",0.00000,32.10000,0.00000,0.00000,62.82867,62.82867,0.00000,0.00000
"13-FEB-2017 09:30","HWB_T1.M1","750","688",-14.85705,53.50000,0.00892,0.00000,62.89165,62.82867,0.00000,0.18743
"13-FEB-2017 09:30","HWB_T1.T1","692","688",14.91277,53.50000,0.01062,0.09020,62.75429,62.82867,0.00000,-2.61260
"13-FEB-2017 09:30","HWB_T2.L2","793","689",0.00000,32.10000,0.00000,0.00000,62.82854,62.82854,0.00000,0.00000
"13-FEB-2017 09:30","HWB_T2.M2","750","689",-15.10004,53.50000,0.00918,0.00000,62.89165,62.82854,0.00000,0.18776
"13-FEB-2017 09:30","HWB_T2.T2","692","689",15.15671,53.50000,0.01087,0.09160,62.75429,62.82854,0.00000,-2.65626
"13-FEB-2017 09:30","HWB_T4.L4","794","691",0.00000,73.80000,0.00000,0.00000,62.72001,62.72001,0.00000,0.00000
"13-FEB-2017 09:30","HWB_T4.M4","692","691",-13.40924,123.00000,0.00236,0.00000,62.75429,62.72001,0.00000,0.15565
"13-FEB-2017 09:30","HWB_T4.T4","693","691",13.45434,143.50000,0.00085,0.08850,62.69356,62.72001,0.00000,-2.62393
"13-FEB-2017 09:30","HWB_T5.T5","693","687",17.35460,110.00000,0.01079,0.09162,62.69356,62.82600,0.00000,-2.06778
"13-FEB-2017 09:30","HWB_T6.L6","792","690",0.00000,50.20000,0.00000,0.00000,62.76766,62.76766,0.00000,0.00000
"13-FEB-2017 09:30","HWB_T6.M6","692","690",-6.28142,157.60000,0.00000,0.00000,62.75429,62.76766,0.00000,-0.04204
"13-FEB-2017 09:30","HWB_T6.T6","693","690",6.29614,188.20000,0.00202,0.02540,62.69356,62.76766,0.00000,-0.62722
"13-FEB-2017 09:30","HWB_TMH.1","693","726",-46.00987,333.00000,0.00868,0.00000,62.69356,62.68155,0.00000,0.00432
"13-FEB-2017 09:30","HWB_WPIA.1","687","729",-7.33333,2000.00000,0.00000,0.00000,62.82600,62.82600,0.00000,0.00000
"13-FEB-2017 09:30","HWB_WPIB.1","687","729",-7.33333,2000.00000,0.00000,0.00000,62.82600,62.82600,0.00000,0.00000
"13-FEB-2017 09:30","HWB_WPIC.1","687","729",-7.33333,2000.00000,0.00000,0.00000,62.82600,62.82600,0.00000,0.00000
"13-FEB-2017 09:30","IGH_KIK1.1","496","503",-8.65181,56.00000,0.04258,0.00000,81.06222,80.28480,0.00000,1.63725
"13-FEB-2017 09:30","IGH_KIK1.2","500","503",10.59150,56.00000,0.11081,0.00000,79.18147,80.28480,0.00000,1.39481
"13-FEB-2017 09:30","IGH_KIK2.1","496","500",-11.00057,92.00000,0.06382,0.00000,81.06222,79.18147,0.00000,7.75784
"13-FEB-2017 09:30","IGH_WMG1.1","496","744",3.43612,76.00000,0.00719,0.00000,81.06222,81.23209,0.00000,0.00000
"13-FEB-2017 09:30","IGH_WMG2.1","496","516",3.39325,56.00000,0.00978,0.00000,81.06222,81.29642,0.00000,0.00000
"13-FEB-2017 09:30","INV_MAN.1","698","708",-199.82499,312.00000,5.29812,0.00000,62.15792,59.11495,0.00000,139.37101
"13-FEB-2017 09:30","INV_NMA.1","698","711",-208.29116,404.00000,0.41651,0.00000,62.15792,61.90430,0.00000,13.46909
"13-FEB-2017 09:30","INV_ROX1.1","698","723",22.50749,347.00000,0.15646,0.00000,62.15792,62.50000,0.00000,-1.03987
"13-FEB-2017 09:30","INV_ROX2.1","698","723",22.59622,347.00000,0.15427,0.00000,62.15792,62.50000,0.00000,-0.95606
"13-FEB-2017 09:30","INV_T1.L1","796","696",0.00000,37.50000,0.00000,0.00000,62.19923,62.19923,0.00000,0.00000
"13-FEB-2017 09:30","INV_T1.M1","697","696",-30.75166,111.30000,0.01422,0.00000,62.24648,62.19923,0.00000,0.28392
"13-FEB-2017 09:30","INV_T1.T1","698","696",30.77024,120.00000,0.00843,0.02030,62.15792,62.19923,0.00000,-0.25813
"13-FEB-2017 09:30","INV_T3.T3","698","695",28.65007,141.75000,0.02252,0.04830,62.15792,62.26694,0.00000,-0.64304
"13-FEB-2017 09:30","INV_T5.T5","698","695",28.75477,141.75000,0.02278,0.04880,62.15792,62.26694,0.00000,-0.66101
"13-FEB-2017 09:30","INV_TWI1.1","698","727",134.61947,385.00000,0.37856,0.00000,62.15792,62.54852,0.00000,14.45176
"13-FEB-2017 09:30","INV_TWI2.1","698","727",134.44454,385.00000,0.37793,0.00000,62.15792,62.54852,0.00000,14.43735
"13-FEB-2017 09:30","ISL_KIK1.1","529","501",58.33850,238.92000,1.13497,0.00000,76.07955,79.48101,0.00000,54.11367
"13-FEB-2017 09:30","ISL_KIK2.1","529","537",84.28721,347.00000,0.54444,0.00000,76.07955,76.83582,0.00000,10.95616
"13-FEB-2017 09:30","ISL_KIK2.2","494","537",-60.70093,347.00000,0.19419,0.00000,77.47678,76.83582,0.00000,11.93097
"13-FEB-2017 09:30","ISL_KIK2.3","494","501",49.70839,311.00000,0.40722,0.00000,77.47678,79.48101,0.00000,33.63036
"13-FEB-2017 09:30","ISL_KIK3.1","529","536",84.24041,347.00000,0.55669,0.00000,76.07955,76.83914,0.00000,10.60667
"13-FEB-2017 09:30","ISL_KIK3.2","495","536",-60.65600,347.00000,0.19386,0.00000,77.46871,76.83914,0.00000,11.58438
"13-FEB-2017 09:30","ISL_KIK3.3","495","501",49.63722,311.00000,0.41545,0.00000,77.46871,79.48101,0.00000,33.43245
"13-FEB-2017 09:30","ISL_LIV.1","529","630",-171.41819,404.00000,6.14674,0.00000,76.07955,71.05808,0.00000,196.56499
"13-FEB-2017 09:30","ISL_SBK1.1","525","533",15.32159,60.00000,0.25858,0.00000,76.50393,79.44704,0.00000,12.27494
"13-FEB-2017 09:30","ISL_SBK2.1","525","533",15.32324,60.00000,0.25860,0.00000,76.50393,79.44704,0.00000,12.27656
"13-FEB-2017 09:30","ISL_T1.T1","529","524",27.40035,107.00000,0.03333,0.03549,76.07955,76.24733,0.00000,-0.32500
