"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"13-FEB-2017 09:30","332",0.000,11.152,77.334,0.000,431.214,0.000,0.000
"13-FEB-2017 09:30","333",0.000,0.000,77.177,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","334",0.000,0.000,77.184,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","335",0.000,0.000,77.148,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","336",0.000,6.132,77.040,0.000,236.204,0.000,0.000
"13-FEB-2017 09:30","337",0.000,0.000,76.672,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","338",12.000,0.000,79.576,477.456,0.000,0.000,0.000
"13-FEB-2017 09:30","339",0.000,0.000,79.576,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","34",0.000,0.000,84.453,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","341",53.316,0.000,77.000,2052.669,0.000,0.000,0.000
"13-FEB-2017 09:30","342",0.000,0.000,77.000,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","343",0.000,16.991,77.060,0.000,654.666,0.000,0.000
"13-FEB-2017 09:30","344",0.000,0.000,76.985,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","345",0.000,0.000,76.979,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","346",0.000,1.150,77.000,0.000,44.275,0.000,0.000
"13-FEB-2017 09:30","347",0.000,0.000,77.000,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","348",0.000,0.000,77.000,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","349",2.501,0.000,79.576,99.528,0.000,0.000,0.000
"13-FEB-2017 09:30","35",0.000,0.000,83.930,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","350",0.000,0.000,79.576,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","351",3.499,0.000,79.576,139.200,0.000,0.000,0.000
"13-FEB-2017 09:30","352",0.000,0.000,79.576,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","353",0.000,3.559,79.635,0.000,141.710,0.000,0.000
"13-FEB-2017 09:30","354",0.000,0.000,79.202,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","358",0.000,41.122,76.097,0.000,1564.623,0.000,0.000
"13-FEB-2017 09:30","359",0.000,-0.001,75.915,0.000,-0.019,0.000,0.000
"13-FEB-2017 09:30","36",0.000,3.056,83.984,0.000,128.327,0.000,0.000
"13-FEB-2017 09:30","360",0.000,-0.001,75.897,0.000,-0.019,0.000,0.000
"13-FEB-2017 09:30","361",0.000,0.000,75.818,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","362",0.000,0.000,75.815,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","363",0.000,0.000,75.815,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","364",0.000,0.000,75.875,0.000,0.000,0.000,0.000
